주문번호,날짜,시간,카테고리,상품명,SKU,수량,단가,합계,결제수단,고객국적
NM-2601-0001,2026-01-02,12:33,MD상품,키링 포 모양,NM-4000002,1,12000,12000,카드,한국
NM-2601-0002,2026-01-02,12:30,커피포,민트초코맛 커피포,NM-2000014,1,15900,15900,간편결제,일본
NM-2601-0002,2026-01-02,12:30,커피포,얼그레이밀크티 커피포,NM-2000016,2,15900,31800,간편결제,일본
NM-2601-0002,2026-01-02,12:30,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,간편결제,일본
NM-2601-0003,2026-01-02,13:50,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,현금,대만
NM-2601-0003,2026-01-02,13:50,커피포,오리지날 커피포 10T,NM-2000003,3,14500,43500,현금,대만
NM-2601-0004,2026-01-02,17:48,커피포,타로밀크티 커피포,NM-2000018,2,15900,31800,현금,유럽
NM-2601-0004,2026-01-02,17:48,스낵,오란다 말차,NM-3000004,1,4500,4500,현금,유럽
NM-2601-0004,2026-01-02,17:48,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,현금,유럽
NM-2601-0005,2026-01-02,15:30,MD상품,키링 mix man,NM-4000001,2,12000,24000,카드,대만
NM-2601-0005,2026-01-02,15:30,커피포,라즈베리말차 커피포,NM-2000017,2,15900,31800,카드,대만
NM-2601-0005,2026-01-02,15:30,스낵,건빵크런치 8개입,NM-3000001,1,6500,6500,카드,대만
NM-2601-0006,2026-01-02,13:57,커피포,밀크카라멜맛 커피포,NM-2000114,2,15900,31800,현금,일본
NM-2601-0007,2026-01-02,13:47,MD상품,키링 mix man,NM-4000001,1,12000,12000,간편결제,한국
NM-2601-0008,2026-01-02,17:24,커피포,라즈베리말차 커피포,NM-2000017,2,15900,31800,간편결제,일본
NM-2601-0008,2026-01-02,17:24,스낵,오란다 오리지널,NM-3000003,2,4500,9000,간편결제,일본
NM-2601-0008,2026-01-02,17:24,커피포,볶은쌀 커피포 10T,NM-2000004,3,14500,43500,간편결제,일본
NM-2601-0008,2026-01-02,17:24,MD상품,도자기컵,NM-4000003,1,28000,28000,간편결제,일본
NM-2601-0009,2026-01-02,18:52,커피포,민트초코맛 커피포,NM-2000014,1,15900,15900,카드,대만
NM-2601-0009,2026-01-02,18:52,커피포,오리지널 에어 10T,NM-2000008,1,16500,16500,카드,대만
NM-2601-0010,2026-01-02,18:52,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,카드,태국
NM-2601-0010,2026-01-02,18:52,커피포,생일파티바닐라 커피포,NM-2000005,2,15900,31800,카드,태국
NM-2601-0010,2026-01-02,18:52,MD상품,키링 포 모양,NM-4000002,1,12000,12000,카드,태국
NM-2601-0011,2026-01-02,16:54,커피포,얼그레이밀크티 커피포,NM-2000016,1,15900,15900,현금,한국
NM-2601-0011,2026-01-02,16:54,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,현금,한국
NM-2601-0012,2026-01-02,16:05,커피포,말차라떼맛 커피포,NM-2000108,1,15900,15900,카드,태국
NM-2601-0012,2026-01-02,16:05,커피포,군밤맛 커피포,NM-2000015,1,15900,15900,카드,태국
NM-2601-0013,2026-01-02,13:06,커피포,말차라떼맛 커피포,NM-2000108,1,15900,15900,카드,일본
NM-2601-0013,2026-01-02,13:06,스낵,오란다 말차,NM-3000004,1,4500,4500,카드,일본
NM-2601-0013,2026-01-02,13:06,커피포,바나나우유맛 커피포,NM-2000043,1,15900,15900,카드,일본
NM-2601-0014,2026-01-02,11:12,커피포,얼그레이밀크티 커피포,NM-2000016,3,15900,47700,카드,일본
NM-2601-0015,2026-01-02,14:27,스낵,쌀전병 스낵 믹스커피맛,NM-3000002,3,5500,16500,간편결제,중국
NM-2601-0015,2026-01-02,14:27,MD상품,도자기컵,NM-4000003,2,28000,56000,간편결제,중국
NM-2601-0016,2026-01-02,18:18,커피포,말차라떼맛 커피포,NM-2000108,1,15900,15900,카드,홍콩
NM-2601-0016,2026-01-02,18:18,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,카드,홍콩
NM-2601-0017,2026-01-02,15:59,커피포,볶은쌀 커피포 10T,NM-2000004,2,14500,29000,간편결제,한국
NM-2601-0018,2026-01-02,17:27,커피포,밀크카라멜맛 커피포,NM-2000114,2,15900,31800,간편결제,일본
NM-2601-0018,2026-01-02,17:27,스낵,오란다 말차,NM-3000004,2,4500,9000,간편결제,일본
NM-2601-0019,2026-01-02,16:13,커피포,바나나우유맛 커피포,NM-2000043,2,15900,31800,간편결제,일본
NM-2601-0019,2026-01-02,16:13,커피포,얼그레이밀크티 커피포,NM-2000016,3,15900,47700,간편결제,일본
NM-2601-0020,2026-01-02,18:00,MD상품,키링 포 모양,NM-4000002,2,12000,24000,카드,홍콩
NM-2601-0020,2026-01-02,18:00,MD상품,도자기컵,NM-4000003,1,28000,28000,카드,홍콩
NM-2601-0021,2026-01-02,15:43,커피포,오리지널 에어 10T,NM-2000008,1,16500,16500,카드,일본
NM-2601-0022,2026-01-02,13:02,커피포,생일파티바닐라 커피포,NM-2000005,2,15900,31800,간편결제,중국
NM-2601-0022,2026-01-02,13:02,커피포,생일파티바닐라 커피포,NM-2000005,2,15900,31800,간편결제,중국
NM-2601-0023,2026-01-02,14:46,커피포,바나나우유맛 커피포,NM-2000043,2,15900,31800,간편결제,한국
NM-2601-0024,2026-01-02,13:22,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,카드,한국
NM-2601-0025,2026-01-02,19:01,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,간편결제,한국
NM-2601-0025,2026-01-02,19:01,커피포,볶은쌀 커피포 10T,NM-2000004,2,14500,29000,간편결제,한국
NM-2601-0026,2026-01-02,16:31,커피포,생일파티바닐라 커피포,NM-2000005,1,15900,15900,간편결제,일본
NM-2601-0026,2026-01-02,16:31,커피포,오리지널 에어 10T,NM-2000008,2,16500,33000,간편결제,일본
NM-2601-0027,2026-01-02,14:12,스낵,쌀전병 스낵 믹스커피맛,NM-3000002,2,5500,11000,간편결제,한국
NM-2601-0028,2026-01-02,13:27,커피포,말차라떼맛 커피포,NM-2000108,1,15900,15900,카드,한국
NM-2601-0029,2026-01-02,14:44,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,현금,한국
NM-2601-0030,2026-01-02,15:36,커피포,얼그레이밀크티 커피포,NM-2000016,1,15900,15900,카드,일본
NM-2601-0030,2026-01-02,15:36,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,카드,일본
NM-2601-0030,2026-01-02,15:36,스낵,오란다 오리지널,NM-3000003,2,4500,9000,카드,일본
NM-2601-0031,2026-01-02,16:14,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,카드,한국
NM-2601-0032,2026-01-02,14:36,커피포,볶은쌀 커피포 10T,NM-2000004,2,14500,29000,카드,중국
NM-2601-0032,2026-01-02,14:36,MD상품,키링 mix man,NM-4000001,1,12000,12000,카드,중국
NM-2601-0033,2026-01-02,16:12,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,카드,한국
NM-2601-0033,2026-01-02,16:12,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,카드,한국
NM-2601-0034,2026-01-02,12:59,커피포,군밤맛 커피포,NM-2000015,2,15900,31800,간편결제,중국
NM-2601-0035,2026-01-02,12:56,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,현금,대만
NM-2601-0035,2026-01-02,12:56,커피포,군밤맛 커피포,NM-2000015,2,15900,31800,현금,대만
NM-2601-0036,2026-01-02,12:01,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,카드,한국
NM-2601-0036,2026-01-02,12:01,커피포,오리지널 에어 10T,NM-2000008,2,16500,33000,카드,한국
NM-2601-0037,2026-01-02,13:38,커피포,오리지널 에어 10T,NM-2000008,2,16500,33000,카드,한국
NM-2601-0037,2026-01-02,13:38,스낵,쌀전병 스낵 믹스커피맛,NM-3000002,1,5500,5500,카드,한국
NM-2601-0038,2026-01-02,15:17,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,카드,한국
NM-2601-0039,2026-01-02,12:59,커피포,오리지날 커피포 10T,NM-2000003,3,14500,43500,카드,일본
NM-2601-0039,2026-01-02,12:59,커피포,볶은쌀 커피포 10T,NM-2000004,3,14500,43500,카드,일본
